Disease_Code,Name,Treatments,Contagious,Chronic
D001,Gestational Cholestasis,,False,False
D002,Injury to Internal Organ,"Immediate medical attention, diagnostic tests, surgery (in some cases)",False,False
D003,Scabies,"Prescription medications (topical or oral scabicides), washing clothes and bedding in hot water, vacuuming and cleaning home",False,True
D004,Congenital Glaucoma,"Surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure",False,True
D005,Avoidant/Restrictive Food Intake Disorder (ARFID),"Nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medical monitoring, exposure therapy, occupational therapy",False,True
D006,Subdural hemorrhage,"Immediate medical attention, close monitoring of vital signs and neurological status, diagnostic imaging (such as CT or MRI scan), potential surgical intervention (such as craniotomy or burr hole evacuation), medication to manage symptoms",False,True
D007,Poisoning due to Antidepressants,"Seek immediate medical assistance or contact a poison control center, activated charcoal (if indicated), supportive care (maintaining vital signs, airway management), gastric lavage (in certain cases), administration of antidotes (if available and appropriate), monitoring and management of complications",False,True
D008,Mittelschmerz,"Pain management (over-the-counter pain relievers, heat therapy), hormonal birth control (if severe or recurrent)",False,True
D009,Cornea Infection,"Antibiotic or antifungal eye drops, oral medications, supportive care, possible corneal transplant (in severe cases)",False,True
D010,Myopia,"Eyeglasses, contact lenses, refractive surgery (LASIK), orthokeratology (for some cases)",False,False
D011,Abscess of the Lung,"Antibiotics, drainage or surgical removal of the abscess, supportive care, management of underlying lung conditions",True,False
D012,Congenital rubella,"Supportive care to manage symptoms and complications, early intervention services for developmental delays, educational support, vision and hearing interventions, specialized medical care as needed",False,False
D013,Intertrigo,"Keeping the affected area clean and dry, applying topical antifungal or antibacterial creams, using barrier creams",False,False
D014,Insect Bites,"Topical corticosteroids, oral antihistamines, cold compresses",False,False
D015,Complex Regional Pain Syndrome,"Physical therapy (including exercises, stretching, and mirror therapy), pain management techniques (such as medications, nerve blocks, or spinal cord stimulation), sympathetic nerve blocks, psychological support (such as cognitive-behavioral therapy or counseling), occupational therapy, graded motor imagery, transcutaneous electrical nerve stimulation (TENS), patient education and self-management techniques",False,True
D016,Anxiety,"Therapy (cognitive-behavioral therapy, psychotherapy), medications (antidepressants, anti-anxiety drugs)",False,True
D017,Gastroesophageal Reflux Disease (GERD),"Lifestyle changes, medications (antacids, proton pump inhibitors)",False,True
D018,Crushing Injury,"Emergency medical attention, immobilization, pain management, surgery (to repair or reconstruct affected tissues), rehabilitation (physical therapy, occupational therapy)",False,True
D019,Cellulitis,"Antibiotics, Warm compresses, immobilization, rest, Pain management",False,False
D020,Anal Fissure,"Stool softeners, fiber supplements, topical ointments, surgical procedures (in severe cases)",False,False
D021,Neuropathic Pain,"Medications (such as antidepressants, anticonvulsants, topical treatments), nerve blocks, spinal cord stimulation, physical therapy, occupational therapy, transcutaneous electrical nerve stimulation (TENS), acupuncture, cognitive-behavioral therapy, relaxation techniques",False,True
D022,Common Cold,"rest, fluids, over-the-counter medication",True,True
D023,Food Allergy,"Avoidance of allergenic food, antihistamines, epinephrine (in severe cases)",False,False
D024,Pulmonary Fibrosis,"Medications (immunosuppressants, antifibrotic drugs), oxygen therapy, lung transplantation",True,True
D025,Hyperosmotic Hyperketotic State,"Insulin therapy to regulate blood sugar levels, intravenous fluids to correct dehydration, electrolyte replacement, correction of underlying causes (e.g., diabetes management)",True,True
D026,Overflow Incontinence,"Bladder training exercises, double voiding, catheterization, medications (alpha-blockers, anticholinergics), surgery (in severe cases), lifestyle modifications",False,True
D027,Abdominal Injury,"Immediate medical attention, X-ray, CT scan, ultrasound, stabilization of vital signs, pain management, observation for signs of internal bleeding, potential surgical intervention, wound care",False,False
D028,Hirsutism,"Medications (anti-androgens, oral contraceptives), hair removal methods, lifestyle changes",False,True
D029,Neuralgia,"Medications (pain relievers, anticonvulsants), nerve blocks",False,True
D030,Warthin tumor,Surgical excision,False,False
D031,Presbycusis,"Hearing aids, assistive listening devices, cochlear implants (in severe cases), communication strategies, counseling, regular hearing evaluations",False,False
D032,Opioid Use Disorder,"Medication-assisted treatment (such as methadone, buprenorphine, naltrexone), counseling or therapy (such as cognitive-behavioral therapy, contingency management), support groups (such as Narcotics Anonymous), harm reduction strategies, addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support",False,True
D033,Panic disorder,"Antidepressant medications, Cognitive Behavioral Therapy, Relaxation Techniques",False,True
D034,Esophageal Cancer,"Surgery, chemotherapy, radiation therapy, targeted therapy, immunotherapy, palliative care, clinical trials",False,True
D035,Alcohol Intoxication,"Supportive care, ensuring hydration, monitoring vital signs, prevention of complications",False,True
D036,Pilonidal Cyst,"Warm compresses, pain management, antibiotics (for infection), incision and drainage, surgical removal or excision, wound care, lifestyle modifications to prevent recurrence",False,True
D037,Gestational Diabetes,"Blood sugar monitoring, healthy diet modifications, regular exercise, insulin injections (if needed), close monitoring by healthcare provider",False,True
D038,Drug Withdrawal,"Gradual tapering of the drug under medical supervision, medications to manage withdrawal symptoms (such as benzodiazepines, clonidine, or buprenorphine), behavioral therapy, support groups, counseling, rehabilitation programs",False,True
D039,Fetal Alcohol Syndrome,"Early intervention services for developmental delays, educational support, speech and occupational therapy, behavioral interventions, medical management of associated health issues",False,True
D040,Polycythemia Vera,"Phlebotomy (removal of blood), medication (hydroxyurea, interferon), low-dose aspirin, managing complications (blood thinners, medication for itching)",True,True
D041,Osteoarthritis,"Pain relievers, physical therapy, weight management, assistive devices, surgery (in severe cases)",False,True
D042,Fracture of the Neck,"Immobilization (cervical collar, brace), pain management, potential surgical intervention (in severe cases)",False,False
D043,Myoclonus,"Identifying and treating underlying causes (e.g., medication adjustments, metabolic imbalances), medications (anti-seizure drugs, tranquilizers), physical therapy, supportive care",False,True
D044,Foreign Body in the Gastrointestinal Tract,"Observation and monitoring (for small, smooth, and non-sharp objects that are likely to pass through the digestive tract without complications), endoscopic removal (using a flexible tube with a camera to locate and remove the foreign body), surgical intervention (in cases of severe complications, large or sharp objects, or failed endoscopic removal attempts), supportive care (such as intravenous fluids, pain management, and antibiotics if infection is present), imaging studies (such as X-rays or CT scans) to evaluate the location and extent of the foreign body, consultation with a gastroenterologist or surgeon for appropriate management",True,True
D045,Coronary Atherosclerosis,"Lifestyle changes (such as a heart-healthy diet, regular exercise, weight management, smoking cessation), medication (such as aspirin, cholesterol-lowering medications, beta-blockers, calcium channel blockers, nitroglycerin), procedures (such as angioplasty and stenting, coronary artery bypass grafting), cardiac rehabilitation, management of other risk factors (such as high blood pressure, diabetes)",True,True
D046,Hypertensive Heart Disease,"Medications (antihypertensives), lifestyle changes (healthy diet, exercise, stress management), treatment of underlying conditions",True,True
D047,Mumps,"Supportive care, pain relievers, isolation, vaccination (MMR)",True,False
D048,Cholesteatoma,"Surgical removal, antibiotics (for associated infections)",False,False
D049,Polycystic Kidney Disease,"Symptom management, blood pressure control, dialysis",False,False
D050,Juvenile Rheumatoid Arthritis,"Medications (NSAIDs, DMARDs), physical therapy, occupational therapy, exercise, assistive devices",True,True
D051,Hypospadias,"Surgical repair (hypospadias repair surgery), hormone therapy (in some cases), counseling and support for the child and family",False,True
D052,Parotid stones,"Hydration,Saliva stimulation, Stone removal",False,False
D053,Achalasia,"Balloon dilation, surgery, medication",False,True
D054,Rumination Disorder,"Behavioral therapy (such as diaphragmatic breathing techniques), biofeedback, addressing any underlying psychological or medical conditions, dietary modifications",False,True
D055,Bronchitis,"Rest, fluids, over-the-counter cough suppressants, inhalers (if prescribed), treating underlying cause",True,False
D056,Balanitis,"Good hygiene, topical antifungal or antibacterial creams, corticosteroid creams (if severe), treating underlying causes",False,False
D057,Ectopic Pregnancy,"Immediate medical attention, potential medical procedures (such as medication or surgery to remove the ectopic pregnancy), close monitoring, emotional support",False,True
D058,Atelectasis,"Treatment of the underlying cause (such as removal of airway obstruction, treatment of lung infection), deep breathing exercises, coughing techniques, incentive spirometry, chest physiotherapy, bronchodilator medications, supplemental oxygen therapy",False,True
D059,Anorexia Nervosa,"Medical monitoring, nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medications (in some cases), hospitalization (for severe cases), support groups",False,True
D060,Hypergammaglobulinemia,"Treatment of underlying cause or associated condition, immunosuppressive therapy (in some cases)",False,True
D061,Pregnancy-Induced Hypertension,"Monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider",False,True
D062,Chorioretinitis,"Antiviral medications, corticosteroids, eye drops",False,True
D063,Open-Angle Glaucoma,"Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",False,True
D064,Cranial Nerve Palsy,"Treatment depends on the underlying cause and specific cranial nerve affected. It may include medications (such as corticosteroids or antiviral drugs), physical therapy, speech therapy, occupational therapy, eye exercises, surgery (in some cases), and management of any underlying conditions.",False,True
D065,Corneal Abrasion,"Eye patching, lubricating eye drops, antibiotic ointments (if infected), avoiding further eye irritation",False,False
D066,Hiatal Hernia,"Lifestyle changes, medications (antacids, proton pump inhibitors)",False,True
D067,Type 2 Diabetes,"insulin, medication, lifestyle change",True,True
D068,Uterine Fibroids,"Watchful waiting (for small or asymptomatic fibroids), medication (such as hormonal birth control, GnRH agonists, progestin-releasing intrauterine devices), minimally invasive procedures (such as uterine artery embolization, myomectomy), hysteroscopic procedures (such as hysteroscopic myomectomy or endometrial ablation), surgical removal of fibroids (such as laparoscopic or robotic-assisted myomectomy, hysterectomy), focused ultrasound ablation, hormonal therapy, alternative approaches (such as acupuncture or herbal remedies)",False,True
D069,Angle-Closure Glaucoma,"Medications (e.g., oral or intravenous acetazolamide, topical beta blockers, alpha agonists, prostaglandin analogs), laser peripheral iridotomy, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",False,True
D070,Chronic Headache,"Pain-relieving medications, relaxation techniques, stress management",False,True
D071,Acute Kidney Injury,"Treating underlying cause, supportive care, medications to manage complications, dialysis (in severe cases)",True,True
D072,Scarlet Fever,"Antibiotics (such as penicillin or erythromycin), rest, fluids, symptomatic relief",True,False
D073,Thoracic Aortic Aneurysm,"Regular monitoring and imaging tests to assess aneurysm size and growth, lifestyle modifications (e.g., blood pressure control, avoiding smoking, managing cholesterol levels), medication (e.g., beta-blockers, ACE inhibitors) to manage blood pressure and reduce the risk of rupture, surgical intervention",False,True
D074,Scleroderma,"Medications (immunosuppressants), therapy, symptom management",False,True
D075,Bone Spur of the Calcaneus,"Nonsteroidal anti-inflammatory drugs (NSAIDs), orthotic devices, physical therapy, stretching exercises, shoe modifications, corticosteroid injections, surgical removal (in severe cases)",False,True
D076,Ethylene glycol poisoning-2,"Blood tests, Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis",False,False
D077,Pica,"Behavioral therapy, addressing underlying nutritional deficiencies, addressing any medical complications, family support",False,True
D078,Induced Abortion,"Medical Abortion: Medication (such as mifepristone and misoprostol) is used to induce abortion, which can be done in the early stages of pregnancy. Surgical Abortion: A healthcare professional performs a procedure to remove the pregnancy, which can involve suction aspiration or dilation and curettage (D&C). It's important to consult with a healthcare professional to discuss the options and determine the most suitable method.",True,True
D079,Tension Headache,"Over-the-counter pain relievers, relaxation techniques, stress management",False,False
D080,Tuberculosis,"antibiotics, long-term medication",True,True
D081,Urethral Valves,"Surgical intervention (valve ablation or resection), catheterization, medications for symptoms and complications",False,True
D082,Hashimoto Thyroiditis,"Thyroid hormone replacement (levothyroxine), monitoring and management of symptoms",True,True
D083,Parkinson Disease,"Medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation",False,True
D084,Cryptorchidism,"Observation and monitoring (in cases of mild or transient cryptorchidism), hormone therapy (to stimulate testicular descent), surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum, if necessary, performed around the age of 6 to 12 months, open or laparoscopic surgery (in cases of high or persistent cryptorchidism), testicular prostheses (in cases of absent or non-functional testicles), regular follow-up visits with a urologist or pediatric surgeon",False,True
D085,Mucocele,"Observation, Surgical removal if necessary",False,False
D086,Empyema,"Antibiotics, drainage (chest tube insertion, thoracentesis), surgical intervention (decortication), supportive care, treatment of underlying cause",True,False
D087,Abdominal Hernia,"Watchful waiting, hernia truss, surgical repair, lifestyle changes",False,True
D088,Hemarthrosis,"RICE method (Rest, Ice, Compression, Elevation), pain management, joint aspiration or drainage (in severe cases)",False,False
D089,Pregnancy-Related Back Pain,"Prenatal exercises (such as stretching and strengthening exercises), good posture, heat or cold therapy, prenatal massages, supportive devices (such as pregnancy belts), physical therapy",False,True
D090,Muscle Spasm,"Stretching and relaxation exercises, heat or cold therapy, over-the-counter pain relievers, muscle relaxants, physical therapy, lifestyle modifications",False,True
D091,Diverticulosis,"High-fiber diet, medications (pain relievers, antibiotics)",False,True
D092,Dry Skin,"Moisturizing creams or lotions, avoiding hot showers or baths, using mild soaps",False,False
D093,Alcohol Use Disorder,"Detoxification (if necessary), counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups (such as Alcoholics Anonymous), medication (such as disulfiram, naltrexone, acamprosate), addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support",False,True
D094,Muscular Dystrophy,"Supportive care, physical therapy, assistive devices, medications for symptom management, gene therapies (in some cases)",False,True
D095,Vaginal Yeast Infection,"Over-the-counter antifungal creams, ointments, or suppositories (such as miconazole, clotrimazole, or terconazole), prescription-strength antifungal medications (in severe or recurrent cases), oral antifungal medications (if recommended by a healthcare professional), topical corticosteroids (for relief of itching and inflammation), maintaining good hygiene practices, avoiding irritants (such as scented products), wearing breathable cotton underwear, avoiding tight-fitting clothing, probiotics (to restore healthy vaginal flora)",False,True
D096,Osteoporosis,"Calcium and vitamin D supplements, regular exercise, medications to slow bone loss",False,True
D097,Syndrome of Inappropriate Secretion of ADH (SIADH),"Treating underlying cause, fluid restriction, medications to suppress ADH (vasopressin) secretion, addressing electrolyte imbalance",False,True
D098,Myasthenia Gravis,"Medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (in some cases)",True,True
D099,Torticollis,"Physical therapy exercises, pain relievers, botulinum toxin injections (in severe cases)",False,True
D100,Complex Regional Pain Syndrome (CRPS),"Physical therapy, medications, nerve blocks",False,True
D101,Gastroenteritis (Stomach Flu),"Rest, fluids (electrolyte solutions), bland diet, avoiding irritating foods, over-the-counter medications for symptom relief",True,True
D102,Scleritis,"Steroid eye drops, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants",False,False
D103,Cirrhosis,"Treatment aims to manage symptoms, slow down disease progression, and address underlying causes. It may include: lifestyle modifications (e.g., avoiding alcohol, maintaining a healthy diet), medication (e.g., diuretics, lactulose, antiviral drugs), procedures (e.g., paracentesis, transjugular intrahepatic portosystemic shunt), liver transplantation (in severe cases)",True,True
D104,Lung Contusion,"Supportive care (including supplemental oxygen, pain management, and respiratory support), monitoring in a hospital setting (to assess lung function and overall stability), treatment of associated injuries (such as rib fractures), management of complications (such as pneumonia or respiratory failure), prevention of further complications (such as deep vein thrombosis or pressure ulcers), respiratory therapy (including breathing exercises and airway clearance techniques), possible use of mechanical ventilation in severe cases",True,True
D105,Corneal Disorder,"Treatment depends on the specific corneal disorder and may include: artificial tears or lubricating eye drops, antibiotic or antifungal eye drops (if infection is present), corticosteroid eye drops or ointments (to reduce inflammation), bandage contact lenses, therapeutic contact lenses, corneal transplantation (in severe cases), refractive surgeries (such as LASIK or PRK) to correct vision, protective eyewear or sunglasses, avoiding irritants or triggers, regular eye examinations and monitoring, lifestyle modifications (such as proper eye hygiene and avoiding eye strain)",False,True
D106,Mucoepidermoid carcinoma,"Surgery, Radiation therapy",False,True
D107,Carpal Tunnel Syndrome,"Wrist splints, avoiding repetitive hand movements, applying cold or hot compresses, gentle exercises, ergonomic adjustments",False,False
D108,Macular Degeneration,"Vision aids, medications (injections into the eye), laser therapy, photodynamic therapy, surgical intervention",False,True
D109,Atrophic vaginitis,"Vaginal moisturizers, Vaginal estrogen therapy, Lifestyle modifications",False,True
D110,Osteochondrosis,"Physical therapy, pain medications, rest, surgery",False,True
D111,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Immunoglobulin therapy, corticosteroids, physical therapy",False,True
D112,Parasitic Infections,"Prescription medications (topical or oral antiparasitic agents), washing clothes and bedding in hot water",False,True
D113,Normal Pressure Hydrocephalus,"Ventriculoperitoneal shunt placement, medication management for symptoms",False,True
D114,Kidney Stone,"Pain management, increased fluid intake, medication to facilitate stone passage, minimally invasive procedures or surgery",False,True
D115,Pituitary Disorder,"Treatment depends on the specific pituitary disorder and may involve medications, surgery, hormone replacement therapy",False,True
D116,Pinguecula,"Artificial tears, lubricating eye drops, sunglasses for UV protection, surgical removal (in severe cases)",False,False
D117,Influenza (Flu),"Rest, fluids, over-the-counter medications for symptom relief, antiviral medications (in some cases)",True,True
D118,Cat Scratch Disease,"Antibiotics (azithromycin, doxycycline), pain management, supportive care",True,False
D119,Hyperemesis Gravidarum,"Intravenous fluids to prevent dehydration, anti-nausea medications, nutritional support, rest, monitoring for weight loss and electrolyte imbalance",False,True
D120,Diabetic retinopathy,"Management of blood sugar levels, blood pressure control, cholesterol management, regular eye examinations, laser treatment , intravitreal injections of anti-VEGF medications, vitrectomy",False,True
D121,Aplastic Anemia,"Blood transfusions, bone marrow-stimulating medications, immunosuppressive therapy, stem cell transplant (in severe cases), supportive care",True,True
D122,Wilson Disease,"Medications to remove copper from the body (chelators), dietary changes, liver transplant (in severe cases)",True,True
D123,Drug Abuse (Barbiturates),"Medical detoxification, supportive care, counseling, rehabilitation programs",False,False
D124,Primary Insomnia,"Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)",False,True
D125,Mastoiditis,"Antibiotics (oral or intravenous) to treat the underlying bacterial infection, pain relievers (such as acetaminophen or ibuprofen) for pain and fever, ear drops (if there is drainage from the ear), surgical intervention (in severe or chronic cases), such as mastoidectomy (removal of infected mastoid bone cells) or tympanostomy tube placement (to relieve pressure and drain fluid from the middle ear), supportive care (rest, hydration, warm compresses)",True,True
D126,Acinic cell carcinoma,"Surgery, Radiation therapy",False,True
D127,Arthritis,"Medications, physical therapy, surgery (in severe cases)",False,True
D128,Wharton's duct stones,"Hydration,Saliva stimulation, Stone removal",False,False
D129,Pharyngitis,"Rest, pain relievers, throat lozenges, antibiotics (if bacterial infection), symptomatic relief",True,False
D130,Pericarditis,"Nonsteroidal anti-inflammatory drugs (NSAIDs) to reduce inflammation and pain, colchicine (for recurrent or persistent pericarditis), corticosteroids (in severe cases or when NSAIDs are ineffective), antibiotics (if bacterial infection is present), lifestyle modifications (rest, avoiding strenuous activity), treating underlying causes (if identified), potential pericardiocentesis (fluid drainage)",True,True
